"","Lit","Cat"
"1","Angola","Africa"
"2","Albania","Europe"
"3","United Arab Emirates","Middle East"
"4","Argentina","S. Amer."
"5","Armenia","Asia"
"6","Australia",NA
"7","Austria",NA
"8","Azerbaijan","Asia"
"9","Burundi","Africa"
"10","Belgium",NA
"11","Benin","Africa"
"12","Burkina Faso","Africa"
"13","Bangladesh","Asia"
"14","Bulgaria","Europe"
"15","Bosnia and Herzegovina","Europe"
"16","Belarus","Europe"
"17","Belize","Caribbean & Central Amer."
"18","Bolivia","S. Amer."
"19","Brazil","S. Amer."
"20","Bhutan","Africa"
"21","Botswana","Africa"
"22","Central African Republic","Africa"
"23","Canada",NA
"24","Switzerland",NA
"25","Chile","S. Amer."
"26","China","Asia"
"27","Cote d'Ivoire","S. Amer."
"28","Cameroon","Africa"
"29","Congo, Dem. Rep.","Africa"
"30","Congo, Rep.",NA
"31","Colombia","S. Amer."
"32","Comoros","Africa"
"33","Cape Verde","Africa"
"34","Costa Rica","Caribbean & Central Amer."
"35","Cyprus","Middle East"
"36","Czech Republic",NA
"37","Germany",NA
"38","Djibouti",NA
"39","Denmark",NA
"40","Dominican Republic","Caribbean & Central Amer."
"41","Algeria","Africa"
"42","Ecuador","S. Amer."
"43","Egypt","Africa"
"44","Spain","Europe"
"45","Estonia","Europe"
"46","Ethiopia","Africa"
"47","Finland",NA
"48","Fiji",NA
"49","France",NA
"50","Micronesia, Fed. Sts.",NA
"51","Gabon","Africa"
"52","United Kingdom",NA
"53","Georgia","Asia"
"54","Ghana","Africa"
"55","Guinea","Africa"
"56","Gambia","Africa"
"57","Guinea-Bissau","S. Amer."
"58","Greece","Europe"
"59","Guatemala","Caribbean & Central Amer."
"60","Guyana","Africa"
"61","Honduras","Caribbean & Central Amer."
"62","Croatia","Europe"
"63","Haiti","Caribbean & Central Amer."
"64","Hungary","Europe"
"65","Indonesia","Asia"
"66","India","Asia"
"67","Ireland",NA
"68","Iran","Middle East"
"69","Iraq","Middle East"
"70","Iceland",NA
"71","Israel","Middle East"
"72","Italy","Europe"
"73","Jamaica","Caribbean & Central Amer."
"74","Jordan","Middle East"
"75","Japan",NA
"76","Kazakhstan","Asia"
"77","Kenya","Africa"
"78","Kyrgyz Republic","Asia"
"79","Kiribati",NA
"80","South Korea",NA
"81","Kosovo",NA
"82","Lao","Asia"
"83","Lebanon","Middle East"
"84","Liberia","Africa"
"85","St. Lucia",NA
"86","Sri Lanka","Asia"
"87","Lesotho","Africa"
"88","Lithuania","Europe"
"89","Luxembourg",NA
"90","Latvia","Europe"
"91","Morocco","Africa"
"92","Moldova","Europe"
"93","Madagascar","Africa"
"94","Maldives","Asia"
"95","Mexico","North America"
"96","North Macedonia","Europe"
"97","Mali","Africa"
"98","Malta","Europe"
"99","Myanmar","Asia"
"100","Montenegro","Europe"
"101","Mongolia","Asia"
"102","Mozambique","Africa"
"103","Mauritania","Africa"
"104","Mauritius","Africa"
"105","Malawi","Africa"
"106","Malaysia","Asia"
"107","Namibia","Africa"
"108","Niger","Africa"
"109","Nigeria","Africa"
"110","Nicaragua","Caribbean & Central Amer."
"111","Netherlands",NA
"112","Norway",NA
"113","Nepal","Asia"
"114","Nauru",NA
"115","Pakistan","Middle East"
"116","Panama","Caribbean & Central Amer."
"117","Peru","S. Amer."
"118","Philippines","Asia"
"119","Papua New Guinea","Oceania"
"120","Poland","Europe"
"121","Portugal","Europe"
"122","Paraguay","S. Amer."
"123","Palestine","Middle East"
"124","Romania","Europe"
"125","Russia","Asia"
"126","Rwanda","Africa"
"127","Sudan","Africa"
"128","Senegal","Africa"
"129","Solomon Islands",NA
"130","Sierra Leone","Africa"
"131","El Salvador","Caribbean & Central Amer."
"132","Somalia",NA
"133","Serbia","Europe"
"134","South Sudan",NA
"135","Sao Tome and Principe","Africa"
"136","Suriname","S. Amer."
"137","Slovak Republic",NA
"138","Slovenia","Europe"
"139","Sweden",NA
"140","Eswatini","Africa"
"141","Seychelles","Africa"
"142","Syria","Middle East"
"143","Chad","Africa"
"144","Togo","Africa"
"145","Thailand","Asia"
"146","Tajikistan","Asia"
"147","Turkmenistan","Asia"
"148","Timor-Leste","Asia"
"149","Tonga","Oceania"
"150","Trinidad and Tobago","Caribbean & Central Amer."
"151","Tunisia","Africa"
"152","Turkey","Middle East"
"153","Tuvalu",NA
"154","Tanzania","Africa"
"155","Uganda","Africa"
"156","Ukraine","Europe"
"157","Uruguay","S. Amer."
"158","United States",NA
"159","Uzbekistan","Asia"
"160","Venezuela","S. Amer."
"161","Vietnam","Asia"
"162","Vanuatu","Oceania"
"163","Samoa","Oceania"
"164","Yemen","Middle East"
"165","South Africa","Africa"
"166","Zambia","Africa"
"167","Zimbabwe","Africa"
